SpecID,_SpecID
CNC_Diptera52979,CNC_Diptera52979
CNC_Diptera52992,CNC_Diptera52992
CNC_Diptera52993,CNC_Diptera52993
CNC_Diptera53000,CNC_Diptera53000
CNC_Diptera53019,CNC_Diptera53019
CNC_Diptera53028,CNC_Diptera53028
CNC_Diptera53041,CNC_Diptera53041
CNC_Diptera53063,CNC_Diptera53063
CNC_Diptera53067,CNC_Diptera53067
CNC_Diptera53070,CNC_Diptera53070
CNC_Diptera53077,CNC_Diptera53077
CNC_Diptera53085,CNC_Diptera53085
CNC_Diptera53086,CNC_Diptera53086
CNC_Diptera53087,CNC_Diptera53087
CNC_Diptera53102,CNC_Diptera53102
CNC_Diptera53130,CNC_Diptera53130
CNC_Diptera53198,CNC_Diptera53198
CNC_Diptera53255,CNC_Diptera53255
CNC_Diptera53256,CNC_Diptera53256
CNC_Diptera53285,CNC_Diptera53285
CNC_Diptera53286,CNC_Diptera53286
CNC_Diptera53287,CNC_Diptera53287
CNC_Diptera53295,CNC_Diptera53295
CNC_Diptera53877,CNC_Diptera53877
CNC_Diptera53884,CNC_Diptera53884
CNC_Diptera54108,CNC_Diptera54108
CNC_Diptera54112,CNC_Diptera54112
CNC_Diptera54113,CNC_Diptera54113
CNC_Diptera54207,CNC_Diptera54207
CNC_Diptera54214,CNC_Diptera54214
CNC_Diptera54217,CNC_Diptera54217
CNC_Diptera54218,CNC_Diptera54218
CNC_Diptera54362,CNC_Diptera54362
CNC_Diptera54363,CNC_Diptera54363
CNC_Diptera54376,CNC_Diptera54376
CNC_Diptera54553,CNC_Diptera54553
CNC_Diptera54668,CNC_Diptera54668
CNC_Diptera54677,CNC_Diptera54677
CNC_Diptera54680,CNC_Diptera54680
CNC_Diptera54683,CNC_Diptera54683
CNC_Diptera54687,CNC_Diptera54687
CNC_Diptera54688,CNC_Diptera54688
CNC_Diptera54717,CNC_Diptera54717
CNC_Diptera54787,CNC_Diptera54787
CNC_Diptera54788,CNC_Diptera54788
CNC_Diptera54795,CNC_Diptera54795
CNC_Diptera54796,CNC_Diptera54796
CNC_Diptera55139,CNC_Diptera55139
CNC_Diptera55140,CNC_Diptera55140
CNC_Diptera55141,CNC_Diptera55141
CNC_Diptera55179,CNC_Diptera55179
CNC_Diptera55197,CNC_Diptera55197
CNC_Diptera56743,CNC_Diptera56743
CNC_Diptera56744,CNC_Diptera56744
CNC_Diptera56746,CNC_Diptera56746
CNC_Diptera56747,CNC_Diptera56747
CNC_Diptera56749,CNC_Diptera56749
CNC_Diptera56750,CNC_Diptera56750
CNC_Diptera56751,CNC_Diptera56751
CNC_Diptera56752,CNC_Diptera56752
CNC_Diptera56753,CNC_Diptera56753
CNC_Diptera56754,CNC_Diptera56754
CNC_Diptera56755,CNC_Diptera56755
CNC_Diptera56756,CNC_Diptera56756
CNC_Diptera56757,CNC_Diptera56757
CNC_Diptera56758,CNC_Diptera56758
CNC_Diptera56760,CNC_Diptera56760
CNC_Diptera56761,CNC_Diptera56761
CNC_Diptera56762,CNC_Diptera56762
CNC_Diptera56763,CNC_Diptera56763
CNC_Diptera56764,CNC_Diptera56764
CNC_Diptera56765,CNC_Diptera56765
CNC_Diptera56766,CNC_Diptera56766
CNC_Diptera56767,CNC_Diptera56767
CNC_Diptera56769,CNC_Diptera56769
CNC_Diptera56770,CNC_Diptera56770
CNC_Diptera56772,CNC_Diptera56772
CNC_Diptera56773,CNC_Diptera56773
CNC_Diptera57465,CNC_Diptera57465
CNC_Diptera57467,CNC_Diptera57467
CNC_Diptera57468,CNC_Diptera57468
CNC_Diptera57564,CNC_Diptera57564
CNC_Diptera57576,CNC_Diptera57576
CNC_Diptera57577,CNC_Diptera57577
CNC_Diptera57642,CNC_Diptera57642
CNC_Diptera57644,CNC_Diptera57644
CNC_Diptera57645,CNC_Diptera57645
CNC_Diptera57651,CNC_Diptera57651
CNC_Diptera57669,CNC_Diptera57669
CNC_Diptera57681,CNC_Diptera57681
CNC_Diptera57682,CNC_Diptera57682
CNC_Diptera57686,CNC_Diptera57686
CNC_Diptera57688,CNC_Diptera57688
CNC_Diptera57689,CNC_Diptera57689
CNC_Diptera57705,CNC_Diptera57705
CNC_Diptera59764,CNC_Diptera59764
CNC_Diptera59765,CNC_Diptera59765
CNC_Diptera59766,CNC_Diptera59766
CNC_Diptera59777,CNC_Diptera59777
CNC_Diptera59876,CNC_Diptera59876
CNC_Diptera60134,CNC_Diptera60134
CNC_Diptera60135,CNC_Diptera60135
CNC_Diptera60137,CNC_Diptera60137
CNC_Diptera60141,CNC_Diptera60141
CNC_Diptera60161,CNC_Diptera60161
CNC_Diptera6467,CNC_Diptera6467
CNC_Diptera647,CNC_Diptera647
CNC_Diptera6478,CNC_Diptera6478
CNC_Diptera648,CNC_Diptera648
CNC_Diptera6495,CNC_Diptera6495
CNC_Diptera651,CNC_Diptera651
CNC_Diptera66,CNC_Diptera66
CNC_Diptera6624,CNC_Diptera6624
CNC_Diptera67123,CNC_Diptera67123
CNC_Diptera67287,CNC_Diptera67287
CNC_Diptera6729,CNC_Diptera6729
CNC_Diptera6735,CNC_Diptera6735
CNC_Diptera6736,CNC_Diptera6736
CNC_Diptera6744,CNC_Diptera6744
CNC_Diptera67790,CNC_Diptera67790
CNC_Diptera67814,CNC_Diptera67814
CNC_Diptera67841,CNC_Diptera67841
CNC_Diptera67894,CNC_Diptera67894
CNC_Diptera68074,CNC_Diptera68074
CNC_Diptera68115,CNC_Diptera68115
CNC_Diptera68202,CNC_Diptera68202
CNC_Diptera68203,CNC_Diptera68203
CNC_Diptera687,CNC_Diptera687
CNC_Diptera688,CNC_Diptera688
CNC_Diptera69782,CNC_Diptera69782
CNC_Diptera69828,CNC_Diptera69828
CNC_Diptera69829,CNC_Diptera69829
CNC_Diptera69830,CNC_Diptera69830
